Year,job_title,experience_level,employment_type,salary,salary_currency,salary_in_usd,company_location,employee_residence,% Remote_work,company_size
2023,Data Scientist,Senior/Expert,Full-time,185900,USD,185900,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,129300,USD,129300,US,US,0,Medium
2023,Data Lead,Executive/Director,Full-time,250000,USD,250000,US,US,0,Medium
2023,Data Lead,Executive/Director,Full-time,222000,USD,222000,US,US,0,Medium
2023,Data Product Manager,Senior/Expert,Full-time,145000,USD,145000,US,US,0,Medium
2023,Data Product Manager,Senior/Expert,Full-time,120000,USD,120000,US,US,0,Medium
2023,Data Analyst,Senior/Expert,Full-time,120000,USD,120000,US,US,100,Medium
2023,Decision Scientist,Mid/Intermediate,Full-time,204500,USD,204500,US,US,0,Medium
2023,Decision Scientist,Mid/Intermediate,Full-time,142200,USD,142200,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,297000,USD,297000,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,138000,USD,138000,US,US,0,Medium
2023,Data Analyst,Mid/Intermediate,Full-time,147600,USD,147600,US,US,0,Medium
2023,Data Analyst,Mid/Intermediate,Full-time,106300,USD,106300,US,US,0,Medium
2023,Data Analyst,Senior/Expert,Full-time,83376,GBP,102586,GB,GB,0,Medium
2023,Data Analyst,Senior/Expert,Full-time,65004,GBP,79981,GB,GB,0,Medium
2023,Data Science Consultant,Senior/Expert,Full-time,131250,USD,131250,US,US,0,Medium
2023,Data Science Consultant,Senior/Expert,Full-time,128100,USD,128100,US,US,0,Medium
2023,Data Science Consultant,Senior/Expert,Full-time,116000,USD,116000,US,US,0,Medium
2023,Data Science Consultant,Senior/Expert,Full-time,90000,USD,90000,US,US,0,Medium
2023,Data Engineer,Executive/Director,Full-time,174500,USD,174500,US,US,100,Medium
2023,Data Engineer,Executive/Director,Full-time,113000,USD,113000,US,US,100,Medium
2023,Financial Data Analyst,Entry/Junior,Full-time,56500,USD,56500,US,US,50,Large
2023,AI Engineer,Senior/Expert,Full-time,36000,EUR,38868,RO,RO,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,227000,USD,227000,US,US,100,Medium
2023,Data Scientist,Senior/Expert,Full-time,185000,USD,185000,US,US,100,Medium
2023,Machine Learning Engineer,Mid/Intermediate,Full-time,230000,USD,230000,US,US,0,Medium
2023,Machine Learning Engineer,Mid/Intermediate,Full-time,160000,USD,160000,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,185000,USD,185000,US,US,100,Medium
2023,Data Engineer,Senior/Expert,Full-time,138300,USD,138300,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,110700,USD,110700,US,US,0,Medium
2023,Business Intelligence Engineer,Senior/Expert,Full-time,185000,USD,185000,US,US,0,Large
2023,Business Intelligence Engineer,Senior/Expert,Full-time,79600,USD,79600,US,US,0,Large
2023,Data Scientist,Senior/Expert,Full-time,208500,USD,208500,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,165000,USD,165000,US,US,0,Medium
2023,Data Analyst,Senior/Expert,Full-time,100000,USD,100000,US,US,0,Medium
2023,Data Analyst,Senior/Expert,Full-time,75000,USD,75000,US,US,0,Medium
2023,Data Architect,Senior/Expert,Full-time,185000,USD,185000,US,US,0,Medium
2023,Data Architect,Senior/Expert,Full-time,150000,USD,150000,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,45000,EUR,48585,ES,ES,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,36000,EUR,38868,ES,ES,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,137500,USD,137500,US,US,0,Medium
